,loss,categorical_accuracy,auc_2,val_loss,val_categorical_accuracy,val_auc_2
0,0.5069137811660767,0.8803821206092834,0.9648175239562988,2.4394290447235107,0.8967503309249878,0.9715113043785095
1,0.2534250319004059,0.9190053939819336,0.98521488904953,0.2332271784543991,0.9156725406646729,0.982975959777832
2,0.20523807406425476,0.9369229078292847,0.9907053709030151,0.23479890823364258,0.9119703769683838,0.9832502007484436
3,0.10718254745006561,0.9616509675979614,0.9962107539176941,0.24625486135482788,0.9115590453147888,0.981967568397522
4,0.09906060248613358,0.9790657162666321,0.9981517195701599,0.29082781076431274,0.9115590453147888,0.9779943227767944
5,0.04023151472210884,0.9893500208854675,0.9993827939033508,0.3043615520000458,0.9090909361839294,0.9783351421356201
6,0.027331307530403137,0.9942407608032227,0.9997062087059021,0.3273870348930359,0.9148498773574829,0.9770978093147278
7,0.009983444586396217,0.9984002113342285,0.9998782277107239,0.3681568205356598,0.9136158227920532,0.9748046398162842
8,0.0064858258701860905,0.998857319355011,0.9998838901519775,0.361746609210968,0.9156725406646729,0.9759796857833862
9,0.0036265153903514147,0.9994515180587769,0.9999629855155945,0.3908874988555908,0.9156725406646729,0.9743541479110718
10,0.005981462076306343,0.9988116025924683,0.999933660030365,0.40586066246032715,0.9160839319229126,0.9724922180175781
11,0.002369039226323366,0.9997714757919312,0.9999293684959412,0.4109247326850891,0.9160839319229126,0.9726734757423401
12,0.0009559757891111076,0.9999542832374573,0.999965250492096,0.44011399149894714,0.9132044315338135,0.9698711633682251
13,0.005732507910579443,0.9998171925544739,0.9998955726623535,0.4253225028514862,0.9156725406646729,0.9723602533340454
