,loss,categorical_accuracy,auc,val_loss,val_categorical_accuracy,val_auc
0,0.47882652282714844,0.890849232673645,0.9659309983253479,0.22804152965545654,0.9177293181419373,0.9839879870414734
1,0.08488311618566513,0.9699241518974304,0.9973281621932983,0.23670871555805206,0.922254204750061,0.9839035868644714
2,0.03641614690423012,0.9893500208854675,0.9992948174476624,0.5219671726226807,0.9123817086219788,0.9744606614112854
3,0.06977938860654831,0.9865618348121643,0.9980455040931702,0.3089079260826111,0.9160839319229126,0.9794884324073792
4,0.023629169911146164,0.9943321943283081,0.9995104670524597,0.28426462411880493,0.9271904826164246,0.981797456741333
5,0.011139009147882462,0.9973032474517822,0.9998674392700195,0.2906690537929535,0.9288358688354492,0.98054039478302
6,0.007691941689699888,0.9988116025924683,0.9998173117637634,0.2877946197986603,0.9304812550544739,0.9809719324111938
7,0.0045587909407913685,0.9994972348213196,0.9998931288719177,0.30482178926467896,0.9243109822273254,0.9808095693588257
8,0.004276976455003023,0.9994058012962341,0.9998579025268555,0.2987975478172302,0.9321267008781433,0.9806429743766785
9,0.0048092687502503395,0.9995886087417603,0.999859094619751,0.38035890460014343,0.922254204750061,0.9755591154098511
10,0.0022196818608790636,0.9998171925544739,0.9999645948410034,0.32438281178474426,0.9308926463127136,0.9793686270713806
