,loss,categorical_accuracy,auc_1,val_loss,val_categorical_accuracy,val_auc_1
0,0.4907841980457306,0.8840844631195068,0.9656736254692078,0.26125580072402954,0.8996297717094421,0.9800944924354553
1,0.2443702071905136,0.9186854362487793,0.9856910109519958,0.224310502409935,0.9156725406646729,0.98447585105896
2,0.18399067223072052,0.9383856058120728,0.9906511306762695,0.22385309636592865,0.9140271544456482,0.9846789836883545
3,0.10406161844730377,0.9624736905097961,0.9962522983551025,0.22670722007751465,0.9136158227920532,0.9843935370445251
4,0.08606591820716858,0.9794313907623291,0.9985512495040894,0.2426016628742218,0.9136158227920532,0.9825916886329651
5,0.04042452946305275,0.9871560335159302,0.99947589635849,0.2779548168182373,0.9218428730964661,0.9806861281394958
6,0.028010288253426552,0.9932809472084045,0.999614953994751,0.27923527359962463,0.9197860956192017,0.9816461205482483
7,0.013586631044745445,0.9967090487480164,0.9998445510864258,0.32308921217918396,0.9148498773574829,0.9754824042320251
8,0.009466794319450855,0.9977145791053772,0.9999088644981384,0.3601815104484558,0.9049773812294006,0.974109411239624
9,0.005416365340352058,0.9988116025924683,0.9999259114265442,0.36728960275650024,0.9169065952301025,0.9731021523475647
10,0.004171687178313732,0.9993143677711487,0.9998926520347595,0.35416096448898315,0.9123817086219788,0.9752593040466309
