,loss,categorical_accuracy,auc,val_loss,val_categorical_accuracy,val_auc
0,0.6185442805290222,0.8847243785858154,0.9575884342193604,0.38590216636657715,0.9025092720985413,0.9728513956069946
1,0.09840355068445206,0.9685528874397278,0.9962245225906372,0.4088389575481415,0.9107363224029541,0.9740886688232422
2,0.035678308457136154,0.986973226070404,0.9992753267288208,0.36448317766189575,0.9218428730964661,0.9754782915115356
3,0.016754966229200363,0.99643474817276,0.9997223019599915,0.36166268587112427,0.9189633727073669,0.9762271642684937
4,0.007612856104969978,0.9985830783843994,0.9998832941055298,0.37128856778144836,0.9226655960083008,0.9777407646179199
5,0.005164129659533501,0.999634325504303,0.9998929500579834,0.3774528503417969,0.9193747639656067,0.9763774871826172
6,0.004856905899941921,0.9996800422668457,0.9998940825462341,0.40660330653190613,0.9214314818382263,0.975857138633728
7,0.025519685819745064,0.9968918561935425,0.9994854927062988,0.45844727754592896,0.9193747639656067,0.971298336982727
8,0.00951915793120861,0.9983087778091431,0.9997847080230713,0.4309678077697754,0.9197860956192017,0.9732980728149414
9,0.0068888431414961815,0.9990401268005371,0.9998546242713928,0.42360538244247437,0.9226655960083008,0.9710766673088074
10,0.004281633999198675,0.999634325504303,0.9998703002929688,0.4373456835746765,0.922254204750061,0.9725938439369202
11,0.004803084302693605,0.9995428919792175,0.9997899532318115,0.4318598508834839,0.9197860956192017,0.9737187027931213
12,0.002134711481630802,0.999634325504303,0.9999305605888367,0.43159863352775574,0.9177293181419373,0.9725075960159302
