,Frozen Layers,Initial LR,LR Decay,Max Epochs,Train Loss,Train Accuracy,Train AUC,Val Loss,Val Accuracy,Val AUC
0,134.0,0.0004442495056370293,0.9099719999724424,11.0,0.0010764275211840868,0.9999542832374572,0.9999655485153198,0.32438281178474426,0.9308926463127132,0.9793686270713806
1,110.0,0.006778084946455922,0.9822681349507124,11.0,0.0015730963787063954,0.9999085664749146,0.9999646544456482,0.35416096448898315,0.912381708621978,0.9752593040466307
2,105.0,0.00916567335705883,0.9002513777596045,14.0,0.000618291029240936,0.9999542832374572,0.9999654293060304,0.4253225028514862,0.915672540664672,0.9723602533340454
3,143.0,0.0008813907683853422,0.9935587702656536,14.0,0.0009973762789741158,0.9999542832374572,0.999965488910675,0.3704498708248137,0.925545036792755,0.975564420223236
4,150.0,0.008480131121858135,0.9825166287790555,13.0,0.00031196424970403314,0.9999542832374572,0.9999999403953552,0.4315986335277557,0.9177293181419368,0.9725075960159302
5,150.0,0.03532574974083212,0.9884583084437112,13.0,0.0010357857681810856,0.9999542832374572,0.9999655485153198,0.3998555243015289,0.925545036792755,0.9762671589851379
6,150.0,0.08522107024153938,0.9895565265857099,13.0,0.0008461659308522942,0.9999542832374572,0.9999656081199646,0.3862103819847107,0.9271904826164241,0.9758735299110411
7,138.0,0.0010452331306668276,0.9835991922577232,7.0,0.004231240134686232,0.9995886087417604,0.9999287724494934,0.32281237840652466,0.926779091358184,0.9800322651863098
8,142.0,0.0008798719653518842,0.9560755069745476,7.0,0.012593864463269707,0.9958862662315368,0.9998229742050172,0.36903831362724304,0.915672540664672,0.9738352298736572
9,141.0,0.03908814713374917,0.9971585801504306,7.0,0.003590675303712487,0.9996800422668456,0.9999297261238098,0.32841387391090393,0.9300699234008779,0.9789764881134032
10,148.0,0.03502881515418956,1.0,7.0,0.009355016984045506,0.9973946213722228,0.999811351299286,0.44714516401290894,0.9169065952301021,0.973580241203308
11,137.0,0.001061147750193133,1.0,7.0,0.00345550081692636,0.9998628497123718,0.999929130077362,0.31824660301208496,0.932126700878143,0.9794564843177797
12,134.0,0.0006270314315306487,0.998993359652898,7.0,0.0025683194398880005,0.9999085664749146,0.999930500984192,0.28044486045837397,0.936240255832672,0.9816745519638062
13,138.0,0.0010452331306668198,0.9835991922577232,7.0,0.00847713649272918,0.9985830783843992,0.999883949756622,0.293371051549911,0.9288358688354492,0.980779647827148
14,138.0,0.17483371220944496,0.7225954306036928,7.0,0.0065780342556536215,0.9990401268005372,0.9999250173568726,0.3724278509616852,0.9156725406646729,0.9742215275764464
15,147.0,0.29483909417829685,0.7008564580091499,7.0,0.009755516424775124,0.9974403381347656,0.9998829960823059,0.4464908838272095,0.9119703769683838,0.972748339176178
16,140.0,0.16135289124604854,0.7500830388410615,7.0,0.011871878057718277,0.9963890910148621,0.9997604489326476,0.4193847179412842,0.9201974272727966,0.9739591479301452
17,143.0,0.049262311591542166,0.9751010549801736,7.0,0.025311056524515152,0.9929152727127076,0.9996358752250672,0.3721804916858673,0.9082682132720948,0.9748281836509703
18,140.0,0.03895355065710936,0.9034504219226654,7.0,0.007965674623847008,0.9988116025924684,0.9998501539230348,0.3286391794681549,0.9222542047500608,0.9780574440956116
19,125.0,0.0007677091280557832,1.0,7.0,0.004690293688327074,0.999634325504303,0.9998552203178406,0.2980798780918121,0.9255450367927552,0.9797271490097046
20,132.0,0.000616534566722103,1.0,7.0,0.002731388667598367,0.9998171925544742,0.9999648928642272,0.3427281081676483,0.9214314818382264,0.976195216178894
21,135.0,0.05665781275225727,1.0,7.0,0.0018123609479516747,0.9999085664749146,0.9999303817749025,0.29400625824928284,0.929658591747284,0.9810428619384766
22,132.0,0.019782752266132884,1.0,7.0,0.006173823494464159,0.9991772770881652,0.9999248385429382,0.3136647045612335,0.9267790913581848,0.9781388640403748
23,131.0,0.0004477708373772924,0.8234186175831877,7.0,0.00774443196132779,0.999268651008606,0.9998875260353088,0.3243657350540161,0.9276018142700196,0.9792924523353576
24,137.0,0.0004010871436027138,1.0,7.0,0.005791960284113884,0.999268651008606,0.9997859001159668,0.33246710896492004,0.9210201501846312,0.9790838956832886
25,141.0,0.2429674442792047,0.7363956855867005,7.0,0.06312204897403717,0.9804369807243348,0.9978007674217224,0.524947464466095,0.9127930998802184,0.9649479389190674
26,126.0,0.0007717400937607905,0.7313270861659219,7.0,0.002021352527663112,0.9999542832374572,0.9999651908874512,0.3210791349411011,0.9284245371818542,0.98017019033432
27,115.0,0.001,0.9,7.0,0.005858037155121565,0.9992229342460632,0.9999256134033204,0.314279168844223,0.915261209011078,0.9797775745391846
28,120.0,0.001,0.9,7.0,0.003473242977634073,0.9997714757919312,0.999928057193756,0.2897000312805176,0.9317153692245485,0.9819292426109314
29,125.0,0.001,0.9,7.0,0.005054976791143417,0.9993143677711488,0.9999262690544128,0.30964741110801697,0.929658591747284,0.9800597429275512
30,130.0,0.001,0.9,7.0,0.004034047480672598,0.9994515180587769,0.9999265670776368,0.3302789330482483,0.929658591747284,0.9788137674331664
31,135.0,0.001,0.9,7.0,0.006348325870931149,0.9984459280967712,0.9998859763145448,0.3503867983818054,0.9230769276618958,0.9757356047630308
32,140.0,0.001,0.9,7.0,0.029618572443723682,0.9895785450935364,0.9996368288993835,0.4606567621231079,0.9025092720985411,0.966641902923584
33,145.0,0.001,0.9,7.0,0.009836540557444096,0.9979888200759888,0.9998077154159546,0.3605448603630066,0.9251337051391602,0.9767305850982666
34,150.0,0.001,0.9,7.0,0.0034076019655913115,0.9995428919792176,0.9998931884765624,0.4259151220321655,0.9230769276618958,0.9724439382553101
35,155.0,0.001,0.9,7.0,0.006292335223406553,0.998491644859314,0.9998875856399536,0.43125468492507935,0.9206088185310364,0.9724240303039552
36,160.0,0.001,0.9,7.0,0.002402601297944784,0.9998628497123718,0.9999296069145204,0.43999412655830383,0.9177293181419371,0.9715874195098876
37,165.0,0.001,0.9,7.0,0.0056495219469070435,0.9986287355422974,0.9999574422836304,0.4474012553691864,0.9206088185310364,0.9705182909965516
38,170.0,0.001,0.9,7.0,0.0033826192375272512,0.9998628497123718,0.9999294281005859,0.5446470379829407,0.9062114357948304,0.9671054482460022
39,175.0,0.001,0.9,7.0,0.21715547144412994,0.9281927347183228,0.9870756268501282,0.5274372100830078,0.877416729927063,0.9604787826538086
40,116.0,0.001,0.9,10.0,0.0019445802317932246,0.9998628497123718,0.9999297261238098,0.3627273738384247,0.9214314818382264,0.9732844829559326
41,117.0,0.001,0.9,10.0,0.002723542507737875,0.9995886087417604,0.9999639391899108,0.33794334530830383,0.9255450367927552,0.9771555066108704
42,118.0,0.001,0.9,10.0,0.0008431297028437258,0.9999085664749146,0.999965488910675,0.3292481005191803,0.9292472004890442,0.977328896522522
43,119.0,0.001,0.9,10.0,0.002711416222155094,0.9999085664749146,0.9999300241470336,0.3668383061885834,0.918140709400177,0.9761143326759338
44,120.0,0.001,0.9,10.0,0.0010648472234606745,0.9998628497123718,0.9999998807907104,0.30808955430984497,0.9276018142700196,0.9811220169067384
45,125.0,0.0029120664693406528,0.9,7.0,0.003890430089086294,0.999634325504303,0.9999287128448486,0.30161723494529724,0.9243109822273254,0.9806146621704102
46,137.0,0.0018836730860138573,0.9,7.0,0.002503592986613512,0.9999085664749146,0.9999303221702576,0.3161182105541229,0.9238996505737305,0.9797083139419556
47,130.0,0.00932363080864309,0.9,7.0,0.002558543812483549,0.9999085664749146,0.9999299645423889,0.3113497793674469,0.9243109822273254,0.9808032512664795
48,129.0,0.005102426433909574,0.9,7.0,0.0038852752186357975,0.9996800422668457,0.9999281764030457,0.2922714352607727,0.9276018142700195,0.9801928400993347
49,129.0,0.0014261644746569044,0.9,7.0,0.004337948746979237,0.9995428919792175,0.9999260902404785,0.29188477993011475,0.9271904826164246,0.980096697807312
50,123.0,0.002590926523503369,0.9,7.0,0.0031172947492450476,0.9998628497123718,0.9999293088912964,0.3265517055988312,0.9251337051391602,0.9789876937866211
51,131.0,0.009983234453639623,0.9,7.0,0.011263763532042503,0.997348964214325,0.9997394680976868,0.37063533067703247,0.9276018142700195,0.9758501052856445
52,133.0,0.0030640237292684463,0.9,7.0,0.005680666770786047,0.9994515180587769,0.9998579621315002,0.30627012252807617,0.9247223138809204,0.9796663522720337
53,131.0,0.0018274897358871059,0.9,7.0,0.0031072052661329508,0.9998628497123718,0.9999293684959412,0.31356945633888245,0.9263677597045898,0.9791469573974609
54,124.0,0.0014764216341833017,0.9,7.0,0.0027526274789124727,0.9999085664749146,0.9999293088912964,0.30942031741142273,0.9304812550544739,0.9811913967132568
