,Frozen Layers,Initial LR,LR Decay,Max Epochs,Train Loss,Train Accuracy,Train AUC,Val Loss,Val Accuracy,Val AUC
0,134.0,0.0004442495056370293,0.9099719999724424,11.0,0.0010764275211840868,0.9999542832374572,0.9999655485153198,0.32438281178474426,0.9308926463127131,0.9793686270713806
1,110.0,0.006778084946455922,0.9822681349507124,11.0,0.0015730963787063954,0.9999085664749146,0.9999646544456482,0.35416096448898315,0.912381708621978,0.9752593040466307
2,105.0,0.00916567335705883,0.9002513777596045,14.0,0.000618291029240936,0.9999542832374572,0.9999654293060304,0.4253225028514862,0.915672540664672,0.9723602533340454
3,143.0,0.0008813907683853422,0.9935587702656536,14.0,0.0009973762789741158,0.9999542832374572,0.999965488910675,0.3704498708248137,0.925545036792755,0.975564420223236
4,150.0,0.008480131121858135,0.9825166287790555,13.0,0.00031196424970403314,0.9999542832374572,0.9999999403953552,0.4315986335277557,0.9177293181419369,0.9725075960159302
5,150.0,0.03532574974083212,0.9884583084437112,13.0,0.0010357857681810856,0.9999542832374572,0.9999655485153198,0.3998555243015289,0.925545036792755,0.9762671589851379
6,150.0,0.08522107024153938,0.9895565265857099,13.0,0.0008461659308522942,0.9999542832374572,0.9999656081199646,0.3862103819847107,0.9271904826164241,0.9758735299110411
7,138.0,0.0010452331306668276,0.9835991922577232,7.0,0.004231240134686232,0.9995886087417604,0.9999287724494934,0.32281237840652466,0.926779091358184,0.9800322651863098
8,142.0,0.0008798719653518842,0.9560755069745476,7.0,0.012593864463269709,0.9958862662315368,0.9998229742050172,0.36903831362724304,0.915672540664672,0.9738352298736572
9,141.0,0.03908814713374917,0.9971585801504306,7.0,0.003590675303712487,0.9996800422668456,0.9999297261238098,0.32841387391090393,0.9300699234008779,0.9789764881134032
10,148.0,0.03502881515418956,1.0,7.0,0.009355016984045506,0.9973946213722228,0.999811351299286,0.44714516401290894,0.9169065952301021,0.973580241203308
11,137.0,0.001061147750193133,1.0,7.0,0.00345550081692636,0.9998628497123718,0.999929130077362,0.31824660301208496,0.932126700878143,0.9794564843177797
12,134.0,0.0006270314315306488,0.998993359652898,7.0,0.0025683194398880005,0.9999085664749146,0.999930500984192,0.28044486045837397,0.936240255832672,0.9816745519638062
13,138.0,0.0010452331306668198,0.9835991922577231,7.0,0.00847713649272918,0.9985830783843991,0.999883949756622,0.293371051549911,0.9288358688354491,0.980779647827148
14,138.0,0.17483371220944494,0.7225954306036928,7.0,0.00657803425565362,0.9990401268005371,0.9999250173568726,0.3724278509616852,0.9156725406646729,0.9742215275764465
15,147.0,0.29483909417829685,0.7008564580091499,7.0,0.009755516424775124,0.9974403381347656,0.9998829960823059,0.4464908838272095,0.9119703769683838,0.972748339176178
16,140.0,0.16135289124604854,0.7500830388410615,7.0,0.011871878057718277,0.9963890910148621,0.9997604489326477,0.4193847179412842,0.9201974272727966,0.9739591479301453
